제품명,제조사,카테고리1,카테고리2,표준중량/규격
설레임밀크쉐이크,롯데웰푸드,과자,아이스크림,160g
설레임쿠키앤크림,롯데웰푸드,과자,아이스크림,160g
셀렉션,롯데웰푸드,과자,아이스크림,500g
소다활제로매실페트,기타제조사,과자,스낵,500g
소면,기타제조사,과자,스낵,70g
소보로,해태제과,과자,비스킷/쿠키,60g
솔의눈,기타제조사,과자,스낵,240g
솔틴크래커,해태제과,과자,비스킷/쿠키,141g
수박바,롯데웰푸드,과자,아이스크림,80g
수박바젤리,롯데웰푸드,과자,젤리/캔디,56g
수박아이스,롯데웰푸드,과자,아이스크림,160g
수출오감자,오리온,과자,스낵,50g
수출오감자칠리,오리온,과자,스낵,115g
수출오땅,오리온,과자,스낵,98g
수출왕고래볶음,오리온,과자,스낵,56g
수출왕고래뽁음,기타제조사,과자,스낵,56g
숟가락,공통/물류,물류소모품,소모품,1EA
스노위아몬드빼빼로,롯데웰푸드,과자,초콜릿/비스킷,32g
스위트콘칩,크라운제과,과자,스낵,100g
스윙칩볶음,오리온,과자,스낵,124g
스윙칩볶음고추장,오리온,과자,스낵,60g
스카치세가지,롯데웰푸드,과자,젤리/캔디,157g
스카치커피,기타제조사,음료,음료수,157ml
스크류바,롯데웰푸드,과자,아이스크림,80g
스크류바영칼로리유자민트티,롯데웰푸드,과자,아이스크림,80g
스크류아이스,롯데웰푸드,과자,아이스크림,160g
시원한황태해장국,기타제조사,과자,스낵,70g
신당동떡볶이,해태제과,과자,스낵,110g
신당동신떡볶이,해태제과,과자,스낵,110g
신짱,삼양식품,과자,스낵,120g
신쫄이딸기맛,해태제과,과자,젤리/캔디,24g
신쫄이레몬콜라맛,해태제과,과자,젤리/캔디,24g
신쫄이미니레몬콜라맛,해태제과,과자,젤리/캔디,52g
신쫄이사과맛,해태제과,과자,젤리/캔디,24g
신쫄이샤인머스캣,해태제과,과자,젤리/캔디,24g
실론티,롯데칠성음료,음료,차음료,240ml
쌀강정,크라운제과,과자,스낵,80g
쌀대롱,삼양식품,과자,스낵,220g
쌀로별,롯데웰푸드,과자,스낵,78g
쌍감탕,기타제조사,과자,스낵,750g
쌍화골드,광동제약,음료,건강음료,100ml
쌍화탕,광동제약,음료,건강음료,100ml
쌕쌕오렌지,기타제조사,과자,스낵,238g
써니텐파인애플,해태htb,음료,탄산음료,1.5L
써니텐포도,해태htb,음료,탄산음료,1.5L
썬핫스파이시,오리온,과자,스낵,135g
씨리얼초코컵,확인필요,과자,초콜릿/비스킷,89g
아맛나바,기타제조사,과자,아이스크림,70g
아몬드빼빼로,롯데웰푸드,과자,초콜릿/비스킷,32g
아몬드빼빼로벌크,롯데웰푸드,과자,초콜릿/비스킷,128g
